pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
65949,30.88506,75.83594,5.69,0.13,1.71,0.36,0.699,0.920,3.71,0.477,5.92,5.76,0.17,indeterminate
65950,30.88506,75.83694,5.61,0.13,1.70,0.36,0.697,0.919,3.70,0.488,5.83,5.69,0.17,indeterminate
65951,30.88506,75.83794,3.27,0.14,0.73,0.41,0.727,0.579,6.13,0.497,3.67,3.03,0.17,indeterminate
65952,30.88506,75.83894,5.40,0.13,1.58,0.37,0.696,0.912,3.71,0.494,5.60,5.47,0.17,indeterminate
65953,30.88506,75.83994,3.09,0.15,0.55,0.40,0.724,0.559,6.02,0.498,3.48,2.85,0.17,indeterminate
65954,30.88506,75.84094,3.12,0.15,0.46,0.41,0.729,0.547,6.22,0.510,3.52,2.87,0.17,indeterminate
65955,30.88506,75.84194,3.24,0.16,0.48,0.41,0.728,0.571,6.15,0.544,3.63,2.99,0.17,indeterminate
65956,30.88506,75.84294,3.70,0.15,0.59,0.40,0.721,0.655,5.89,0.549,4.10,3.47,0.17,indeterminate
65957,30.88506,75.84394,3.95,0.15,0.67,0.39,0.721,0.698,5.69,0.542,4.32,3.74,0.17,indeterminate
65958,30.88506,75.84494,4.29,0.16,0.68,0.40,0.719,0.741,5.56,0.551,4.66,4.08,0.00,indeterminate
65960,30.88506,75.84694,4.24,0.16,0.57,0.41,0.756,0.718,5.82,0.525,4.63,4.00,0.00,indeterminate
65961,30.88506,75.84794,4.16,0.18,0.46,0.46,0.795,0.666,6.45,0.548,4.60,3.88,0.17,indeterminate
