pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
69262,30.87795,75.94022,7.33,0.18,1.02,0.50,0.249,0.862,6.16,0.638,8.26,7.34,0.00,indeterminate
69263,30.87795,75.94122,7.31,0.19,1.06,0.50,0.255,0.861,6.17,0.641,8.26,7.32,0.00,indeterminate
69264,30.87795,75.94222,7.20,0.19,1.10,0.51,0.256,0.859,6.13,0.649,8.14,7.21,0.00,indeterminate
69265,30.87795,75.94322,6.94,0.18,1.10,0.51,0.260,0.850,6.11,0.599,7.86,6.94,0.00,indeterminate
69266,30.87795,75.94422,6.54,0.18,0.99,0.49,0.261,0.833,6.13,0.495,7.47,6.54,0.00,indeterminate
69267,30.87795,75.94522,6.49,0.18,0.96,0.49,0.264,0.830,6.15,0.406,7.42,6.49,0.00,indeterminate
69268,30.87795,75.94622,6.51,0.18,0.93,0.49,0.261,0.827,6.25,0.372,7.46,6.52,0.00,indeterminate
69269,30.87795,75.94722,6.72,0.19,0.91,0.48,0.269,0.833,6.31,0.417,7.69,6.73,0.00,indeterminate
69270,30.87795,75.94822,6.93,0.18,0.87,0.47,0.275,0.846,6.20,0.449,7.89,6.92,0.00,indeterminate
69271,30.87795,75.94922,6.96,0.18,0.91,0.47,0.280,0.850,6.14,0.508,7.89,6.93,0.00,indeterminate
69272,30.87795,75.95022,6.82,0.18,0.89,0.46,0.280,0.845,6.13,0.534,7.77,6.79,0.00,indeterminate
69273,30.87795,75.95122,6.98,0.18,0.87,0.46,0.286,0.849,6.17,0.566,7.95,6.94,0.00,indeterminate
69274,30.87795,75.95222,7.41,0.18,1.08,0.51,0.281,0.861,6.25,0.572,8.36,7.38,0.00,indeterminate
69275,30.87795,75.95322,7.54,0.18,1.10,0.52,0.281,0.863,6.32,0.578,8.50,7.53,0.00,indeterminate
69276,30.87795,75.95422,7.57,0.18,1.42,0.57,0.274,0.862,6.35,0.546,8.53,7.58,0.00,indeterminate
69277,30.87795,75.95522,7.27,0.18,1.43,0.57,0.273,0.852,6.35,0.535,8.23,7.29,0.00,indeterminate
69278,30.87795,75.95622,7.51,0.18,1.08,0.51,0.279,0.861,6.34,0.485,8.47,7.50,0.00,indeterminate
69279,30.87795,75.95722,7.78,0.18,1.07,0.51,0.291,0.867,6.40,0.398,8.76,7.74,0.00,indeterminate
69280,30.87795,75.95822,7.61,0.19,1.09,0.52,0.296,0.862,6.39,0.348,8.58,7.54,0.00,indeterminate
69281,30.87795,75.95922,7.33,0.18,1.05,0.51,0.293,0.855,6.34,0.363,8.31,7.26,0.00,indeterminate
69282,30.87795,75.96022,7.36,0.19,1.03,0.51,0.301,0.854,6.39,0.373,8.37,7.28,0.00,indeterminate
69283,30.87795,75.96122,7.59,0.19,1.03,0.51,0.300,0.859,6.45,0.348,8.60,7.52,0.00,indeterminate
69284,30.87795,75.96222,7.43,0.19,0.94,0.49,0.303,0.853,6.47,0.331,8.47,7.36,0.00,indeterminate
69285,30.87795,75.96322,7.25,0.20,0.89,0.49,0.313,0.843,6.57,0.273,8.27,7.18,0.00,indeterminate
69287,30.87795,75.96522,7.53,0.20,0.95,0.52,0.335,0.850,6.64,0.230,8.55,7.42,0.00,indeterminate
69289,30.87795,75.96722,7.35,0.21,0.81,0.48,0.322,0.840,6.73,0.241,8.48,7.23,0.00,indeterminate
69290,30.87795,75.96822,7.50,0.21,0.90,0.52,0.337,0.844,6.77,0.252,8.64,7.37,0.00,indeterminate
69291,30.87795,75.96922,5.28,0.22,0.87,0.53,0.351,0.728,6.77,0.247,6.35,5.14,0.17,indeterminate
69308,30.87795,75.98622,5.61,0.21,1.16,0.56,0.399,0.753,6.77,0.518,6.63,5.58,0.00,indeterminate
69309,30.87795,75.98722,6.57,0.21,0.77,0.48,0.392,0.804,6.82,0.532,7.60,6.48,0.00,indeterminate
69310,30.87795,75.98822,7.48,0.22,0.82,0.49,0.399,0.837,6.93,0.527,8.61,7.42,0.00,indeterminate
69311,30.87795,75.98922,6.49,0.22,0.70,0.46,0.381,0.794,6.95,0.605,7.62,6.44,0.00,indeterminate
69312,30.87795,75.99022,6.23,0.22,0.58,0.45,0.390,0.779,6.98,0.744,7.39,6.16,0.00,indeterminate
69313,30.87795,75.99122,7.72,0.22,0.63,0.44,0.367,0.839,7.11,0.709,8.88,7.62,0.00,indeterminate
69314,30.87795,75.99222,7.65,0.22,0.61,0.43,0.369,0.838,7.06,0.697,8.82,7.55,0.00,indeterminate
69315,30.87795,75.99322,6.41,0.22,0.66,0.44,0.368,0.786,7.03,0.712,7.59,6.32,0.17,indeterminate
69316,30.87795,75.99422,6.47,0.23,0.73,0.46,0.365,0.782,7.18,0.432,7.65,6.36,0.17,indeterminate
69319,30.87795,75.99722,6.35,0.23,0.71,0.47,0.399,0.772,7.25,0.192,7.49,6.21,0.17,indeterminate
69320,30.87795,75.99822,5.89,0.24,0.83,0.50,0.397,0.743,7.29,0.204,7.17,5.72,0.17,indeterminate
69321,30.87795,75.99922,5.61,0.23,0.50,0.44,0.410,0.732,7.14,0.195,6.73,5.47,0.17,indeterminate
69326,30.87795,76.00422,6.52,0.23,0.92,0.48,0.327,0.784,7.19,0.211,7.63,6.39,0.17,indeterminate
69327,30.87795,76.00522,5.63,0.24,0.68,0.47,0.359,0.722,7.34,0.209,6.86,5.48,0.17,indeterminate
69331,30.87795,76.00922,5.36,0.23,1.04,0.54,0.378,0.699,7.41,0.248,6.55,5.26,0.17,indeterminate
69332,30.87795,76.01022,6.05,0.24,0.53,0.52,0.492,0.739,7.57,0.276,7.38,5.88,0.17,indeterminate
69333,30.87795,76.01122,6.68,0.23,0.82,0.51,0.399,0.779,7.47,0.269,7.86,6.56,0.17,indeterminate
69334,30.87795,76.01222,5.75,0.24,0.90,0.51,0.392,0.721,7.52,0.249,6.90,5.62,0.17,indeterminate
69335,30.87795,76.01322,5.58,0.23,0.83,0.50,0.381,0.712,7.46,0.199,6.69,5.46,0.17,indeterminate
