pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
104997,31.43883,74.48628,1.42,1.07,3.61,1.88,0.516,0.086,10.29,0.380,-1.58,0.75,0.50,elastic_dominant
104998,31.43883,74.48728,2.07,1.05,3.82,1.86,0.525,0.119,10.34,0.399,-0.14,0.38,0.00,indeterminate
104999,31.43883,74.48828,2.22,1.08,3.84,1.92,0.525,0.119,10.70,0.391,-0.43,0.88,0.00,indeterminate
105000,31.43883,74.48928,0.82,1.10,3.99,1.96,0.523,0.074,10.74,0.362,-2.07,-0.29,0.50,elastic_dominant
105001,31.43883,74.49028,2.25,1.11,3.68,1.97,0.514,0.115,10.73,0.305,-0.15,0.69,0.00,indeterminate
105002,31.43883,74.49128,5.11,1.20,3.00,2.07,0.488,0.253,11.16,0.256,-1.16,8.55,0.50,indeterminate
105003,31.43883,74.49228,2.19,1.09,4.00,2.00,0.512,0.115,11.00,0.217,-0.38,0.86,0.00,indeterminate
105004,31.43883,74.49328,2.55,1.06,3.83,1.95,0.514,0.131,10.86,0.243,-0.29,1.69,0.00,indeterminate
105005,31.43883,74.49428,2.83,1.11,3.78,2.04,0.516,0.132,11.38,0.361,-0.78,2.65,0.50,indeterminate
105006,31.43883,74.49528,3.18,1.15,4.15,2.15,0.521,0.145,12.03,0.413,-0.05,2.25,0.00,indeterminate
105007,31.43883,74.49628,3.62,1.20,4.19,2.25,0.525,0.155,12.60,0.423,-0.25,3.23,0.00,indeterminate
105008,31.43883,74.49728,2.72,1.15,4.32,2.19,0.523,0.125,12.22,0.460,-1.63,3.02,0.50,indeterminate
105009,31.43883,74.49828,2.51,1.14,4.03,2.11,0.516,0.116,11.82,0.437,-1.00,2.09,0.00,indeterminate
105010,31.43883,74.49928,0.76,1.14,4.19,2.13,0.512,0.066,11.71,0.365,-3.43,1.14,0.50,elastic_dominant
105011,31.43883,74.50028,1.58,1.14,3.61,2.14,0.501,0.072,11.69,0.266,-2.97,2.71,0.50,elastic_dominant
105053,31.43883,74.54228,0.81,1.52,3.09,2.27,0.508,0.026,14.82,0.181,3.28,-6.72,0.00,elastic_dominant
