pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
28870,28.59706,77.11833,-0.54,0.35,1.79,1.08,0.706,0.037,9.62,0.398,-1.42,0.05,0.43,elastic_dominant
28871,28.59706,77.11933,-0.28,0.36,1.64,1.07,0.712,0.019,9.69,0.420,-1.25,0.38,0.43,elastic_dominant
28872,28.59706,77.12033,0.09,0.35,1.70,1.06,0.707,0.015,9.71,0.391,-0.78,0.68,0.43,elastic_dominant
28873,28.59706,77.12133,0.72,0.35,1.63,1.04,0.723,0.047,9.66,0.369,-0.03,1.25,0.29,elastic_dominant
28874,28.59706,77.12233,0.88,0.35,1.58,1.02,0.723,0.063,9.58,0.376,0.10,1.42,0.29,indeterminate
28875,28.59706,77.12333,0.47,0.35,1.59,1.03,0.709,0.027,9.58,0.375,-0.49,1.10,0.29,elastic_dominant
28876,28.59706,77.12433,1.12,0.35,1.47,1.01,0.718,0.091,9.50,0.449,0.29,1.69,0.29,indeterminate
28877,28.59706,77.12533,1.24,0.35,1.47,1.01,0.714,0.108,9.49,0.447,0.38,1.82,0.29,indeterminate
28878,28.59706,77.12633,1.02,0.35,1.46,1.00,0.719,0.079,9.51,0.421,0.09,1.66,0.29,indeterminate
28879,28.59706,77.12733,1.52,0.34,1.58,1.00,0.732,0.153,9.48,0.373,0.64,2.13,0.29,indeterminate
28880,28.59706,77.12833,1.20,0.34,1.50,0.99,0.723,0.104,9.50,0.287,0.38,1.77,0.29,indeterminate
28882,28.59706,77.13033,2.17,0.34,1.23,0.93,0.743,0.260,9.51,0.236,1.31,2.80,0.29,indeterminate
28883,28.59706,77.13133,1.53,0.33,1.39,0.95,0.725,0.153,9.46,0.196,0.78,2.06,0.29,indeterminate
28884,28.59706,77.13233,1.99,0.33,1.33,0.94,0.722,0.230,9.42,0.267,1.42,2.40,0.29,indeterminate
28885,28.59706,77.13333,2.32,0.32,1.29,0.92,0.735,0.289,9.41,0.428,1.72,2.73,0.29,indeterminate
28886,28.59706,77.13433,2.14,0.32,1.33,0.94,0.713,0.256,9.42,0.423,1.60,2.48,0.43,indeterminate
28887,28.59706,77.13533,2.33,0.33,1.18,0.92,0.716,0.286,9.49,0.431,1.71,2.75,0.29,indeterminate
28888,28.59706,77.13633,2.06,0.34,1.15,0.93,0.710,0.235,9.57,0.387,1.39,2.49,0.29,indeterminate
28889,28.59706,77.13733,1.88,0.33,1.27,0.95,0.711,0.205,9.59,0.287,1.17,2.32,0.29,indeterminate
28890,28.59706,77.13833,1.97,0.32,1.11,0.91,0.692,0.218,9.57,0.261,1.39,2.31,0.29,indeterminate
28891,28.59706,77.13933,1.72,0.32,1.11,0.90,0.716,0.178,9.60,0.219,1.03,2.16,0.29,indeterminate
28892,28.59706,77.14033,2.18,0.31,1.17,0.92,0.701,0.259,9.47,0.204,1.55,2.56,0.29,indeterminate
28893,28.59706,77.14133,1.16,0.34,1.17,0.93,0.671,0.090,9.61,0.208,0.48,1.55,0.29,indeterminate
28894,28.59706,77.14233,3.21,0.31,0.89,0.83,0.694,0.436,9.34,0.253,2.95,3.36,0.29,indeterminate
28895,28.59706,77.14333,2.60,0.32,1.19,0.90,0.705,0.337,9.38,0.260,2.29,2.78,0.29,indeterminate
28896,28.59706,77.14433,2.33,0.31,1.09,0.87,0.672,0.291,9.31,0.245,2.13,2.42,0.43,indeterminate
28897,28.59706,77.14533,2.91,0.30,1.03,0.84,0.662,0.396,9.17,0.231,2.55,3.09,0.29,indeterminate
28898,28.59706,77.14633,2.19,0.30,1.34,0.91,0.684,0.274,9.15,0.182,1.95,2.30,0.43,indeterminate
28899,28.59706,77.14733,2.56,0.29,1.02,0.83,0.652,0.336,9.16,0.182,1.93,2.92,0.29,indeterminate
28900,28.59706,77.14833,1.85,0.29,1.33,0.92,0.671,0.210,9.20,0.187,1.22,2.19,0.29,indeterminate
28901,28.59706,77.14933,2.61,0.29,1.37,0.91,0.684,0.353,9.08,0.177,2.21,2.82,0.29,indeterminate
28902,28.59706,77.15033,2.56,0.29,1.36,0.91,0.698,0.343,9.12,0.167,2.05,2.86,0.29,indeterminate
28903,28.59706,77.15133,1.45,0.28,1.44,0.88,0.656,0.147,9.02,0.161,1.12,1.59,0.43,indeterminate
28904,28.59706,77.15233,1.79,0.28,1.12,0.84,0.658,0.204,9.08,0.190,1.20,2.11,0.29,indeterminate
28905,28.59706,77.15333,3.50,0.27,1.07,0.85,0.702,0.495,9.04,0.286,3.20,3.65,0.29,indeterminate
28906,28.59706,77.15433,1.59,0.27,1.31,0.85,0.640,0.169,9.05,0.358,1.13,1.81,0.43,indeterminate
28907,28.59706,77.15533,1.48,0.28,1.34,0.86,0.632,0.149,9.05,0.382,1.00,1.70,0.43,indeterminate
28912,28.59706,77.16033,1.56,0.27,1.12,0.87,0.686,0.160,9.20,0.172,1.05,1.85,0.29,indeterminate
28913,28.59706,77.16133,2.47,0.27,1.03,0.86,0.686,0.319,9.24,0.182,1.83,2.84,0.29,indeterminate
28914,28.59706,77.16233,2.03,0.26,1.15,0.85,0.641,0.239,9.24,0.213,1.36,2.38,0.43,indeterminate
28915,28.59706,77.16333,2.78,0.28,1.00,0.84,0.650,0.366,9.32,0.219,2.13,3.13,0.29,indeterminate
28916,28.59706,77.16433,1.43,0.27,1.19,0.87,0.650,0.137,9.25,0.200,0.55,1.92,0.29,indeterminate
28917,28.59706,77.16533,2.42,0.27,1.12,0.85,0.652,0.302,9.36,0.193,1.66,2.82,0.29,indeterminate
28918,28.59706,77.16633,2.42,0.28,1.04,0.83,0.603,0.298,9.44,0.174,1.31,3.03,0.43,indeterminate
28919,28.59706,77.16733,2.55,0.27,1.05,0.85,0.648,0.322,9.42,0.169,1.76,2.96,0.29,indeterminate
28924,28.59706,77.17233,2.89,0.27,0.90,0.80,0.593,0.372,9.57,0.190,2.08,3.31,0.29,indeterminate
28925,28.59706,77.17333,2.85,0.29,0.82,0.83,0.606,0.361,9.66,0.278,1.79,3.44,0.29,indeterminate
28926,28.59706,77.17433,3.17,0.28,0.68,0.80,0.616,0.407,9.76,0.359,2.26,3.67,0.29,indeterminate
28927,28.59706,77.17533,3.37,0.29,0.74,0.81,0.639,0.438,9.74,0.398,2.65,3.72,0.29,indeterminate
28928,28.59706,77.17633,3.27,0.29,0.51,0.78,0.639,0.421,9.78,0.356,2.56,3.64,0.29,indeterminate
28929,28.59706,77.17733,3.12,0.30,0.57,0.83,0.669,0.393,9.90,0.324,2.42,3.51,0.29,indeterminate
28930,28.59706,77.17833,3.33,0.30,0.69,0.86,0.696,0.425,9.91,0.343,2.83,3.59,0.29,indeterminate
28931,28.59706,77.17933,3.50,0.30,0.76,0.88,0.731,0.445,10.00,0.509,3.07,3.72,0.29,indeterminate
28932,28.59706,77.18033,3.46,0.30,0.83,0.90,0.739,0.439,10.04,0.593,2.92,3.78,0.29,indeterminate
28933,28.59706,77.18133,3.39,0.31,0.66,0.88,0.735,0.426,10.07,0.671,2.78,3.74,0.29,indeterminate
28934,28.59706,77.18233,3.36,0.31,0.71,0.89,0.721,0.423,10.06,0.586,2.75,3.71,0.29,indeterminate
28935,28.59706,77.18333,3.21,0.31,0.68,0.89,0.726,0.397,10.14,0.481,2.58,3.58,0.29,indeterminate
28936,28.59706,77.18433,3.14,0.31,0.73,0.90,0.721,0.384,10.20,0.506,2.59,3.45,0.29,indeterminate
28937,28.59706,77.18533,3.14,0.31,0.75,0.90,0.718,0.383,10.22,0.432,2.59,3.44,0.29,indeterminate
28938,28.59706,77.18633,3.40,0.31,0.70,0.90,0.743,0.417,10.31,0.434,2.83,3.72,0.29,indeterminate
28939,28.59706,77.18733,3.18,0.31,0.77,0.91,0.724,0.383,10.33,0.472,2.52,3.55,0.29,indeterminate
28940,28.59706,77.18833,3.55,0.31,0.76,0.90,0.722,0.437,10.34,0.498,2.96,3.88,0.29,indeterminate
28941,28.59706,77.18933,3.42,0.31,0.71,0.89,0.719,0.414,10.43,0.513,2.83,3.75,0.29,indeterminate
28942,28.59706,77.19033,3.30,0.31,0.75,0.90,0.714,0.395,10.48,0.443,2.75,3.60,0.29,indeterminate
28943,28.59706,77.19133,3.02,0.30,0.82,0.90,0.702,0.353,10.49,0.350,2.62,3.22,0.29,indeterminate
28944,28.59706,77.19233,3.44,0.30,0.87,0.92,0.704,0.410,10.56,0.369,3.08,3.60,0.29,indeterminate
28945,28.59706,77.19333,3.42,0.30,0.90,0.92,0.706,0.405,10.60,0.394,2.84,3.73,0.29,indeterminate
28946,28.59706,77.19433,3.27,0.30,0.84,0.89,0.689,0.386,10.53,0.350,2.70,3.55,0.29,indeterminate
28947,28.59706,77.19533,3.41,0.30,0.68,0.87,0.689,0.407,10.53,0.352,2.62,3.85,0.29,indeterminate
28948,28.59706,77.19633,3.64,0.30,0.75,0.88,0.701,0.438,10.55,0.383,2.83,4.08,0.29,indeterminate
28949,28.59706,77.19733,3.11,0.30,0.78,0.88,0.692,0.356,10.67,0.362,2.46,3.43,0.29,indeterminate
28950,28.59706,77.19833,3.12,0.30,0.69,0.87,0.694,0.354,10.77,0.337,2.31,3.55,0.29,indeterminate
28951,28.59706,77.19933,3.09,0.31,0.65,0.87,0.700,0.343,10.96,0.293,2.17,3.61,0.29,indeterminate
28952,28.59706,77.20033,3.21,0.31,0.73,0.89,0.717,0.354,11.10,0.266,2.40,3.66,0.29,indeterminate
28953,28.59706,77.20133,3.52,0.31,0.64,0.89,0.759,0.392,11.25,0.229,2.82,3.92,0.29,indeterminate
28954,28.59706,77.20233,3.27,0.31,0.57,0.87,0.774,0.356,11.29,0.221,2.53,3.69,0.29,indeterminate
28956,28.59706,77.20433,3.65,0.32,0.49,0.86,0.779,0.401,11.44,0.322,2.75,4.17,0.29,indeterminate
28957,28.59706,77.20533,3.21,0.32,0.50,0.85,0.760,0.343,11.40,0.359,2.38,3.66,0.29,indeterminate
28958,28.59706,77.20633,3.40,0.32,0.42,0.84,0.785,0.367,11.44,0.356,2.51,3.89,0.29,indeterminate
28959,28.59706,77.20733,3.52,0.32,0.43,0.86,0.826,0.380,11.57,0.325,2.74,3.96,0.29,indeterminate
28960,28.59706,77.20833,3.16,0.32,0.63,0.90,0.815,0.326,11.69,0.245,2.41,3.58,0.43,indeterminate
28961,28.59706,77.20933,2.89,0.32,0.60,0.92,0.834,0.284,11.84,0.217,2.09,3.34,0.43,indeterminate
28962,28.59706,77.21033,2.93,0.32,0.59,0.92,0.875,0.290,11.85,0.233,2.10,3.40,0.43,indeterminate
28963,28.59706,77.21133,3.13,0.32,0.69,0.94,0.885,0.318,11.83,0.289,2.33,3.57,0.43,indeterminate
28964,28.59706,77.21233,3.52,0.32,0.71,0.95,0.902,0.369,11.89,0.322,2.79,3.92,0.43,indeterminate
28965,28.59706,77.21333,3.39,0.33,0.76,0.97,0.909,0.350,11.96,0.345,2.65,3.79,0.29,indeterminate
28966,28.59706,77.21433,3.25,0.33,0.71,0.97,0.926,0.331,11.99,0.322,2.42,3.72,0.29,indeterminate
28967,28.59706,77.21533,3.27,0.33,0.77,0.96,0.918,0.337,11.87,0.306,2.47,3.70,0.29,indeterminate
28968,28.59706,77.21633,3.18,0.32,0.78,0.97,0.894,0.328,11.80,0.313,2.38,3.60,0.43,indeterminate
28969,28.59706,77.21733,3.04,0.32,0.75,0.96,0.879,0.312,11.69,0.356,2.36,3.37,0.43,indeterminate
28970,28.59706,77.21833,3.02,0.32,0.78,0.97,0.886,0.309,11.68,0.363,2.34,3.35,0.43,indeterminate
28971,28.59706,77.21933,3.02,0.32,1.05,1.00,0.906,0.311,11.73,0.358,2.10,3.54,0.43,indeterminate
