pid,lat,lon,los_rate_mmyr,rate_sigma,seasonal_amp_mm,amp_sigma,peak_yrfrac,r2,rms_mm,coh_avg,rate_1sthalf,rate_2ndhalf,frac_postmonsoon_down,class
115915,28.43961,77.10539,1.13,0.24,0.86,0.53,0.498,0.183,4.54,0.282,-1.15,2.08,0.50,indeterminate
115916,28.43961,77.10639,1.30,0.24,0.88,0.54,0.509,0.230,4.48,0.151,-0.95,2.26,0.50,indeterminate
115921,28.43961,77.11139,1.80,0.23,0.70,0.51,0.618,0.363,4.32,0.185,-0.46,2.83,0.25,indeterminate
115922,28.43961,77.11239,0.78,0.23,0.51,0.47,0.587,0.102,4.29,0.176,-1.28,1.69,0.50,indeterminate
115923,28.43961,77.11339,1.50,0.23,0.54,0.47,0.560,0.290,4.26,0.152,-0.63,2.44,0.50,indeterminate
115927,28.43961,77.11739,1.85,0.20,0.54,0.43,0.740,0.383,4.20,0.188,0.23,2.55,0.50,indeterminate
115928,28.43961,77.11839,2.39,0.23,0.80,0.50,0.762,0.475,4.48,0.263,0.54,3.23,0.50,indeterminate
115929,28.43961,77.11939,1.91,0.25,0.95,0.55,0.785,0.340,4.78,0.322,-0.01,2.83,0.50,indeterminate
115930,28.43961,77.12039,2.31,0.23,1.07,0.55,0.782,0.426,4.79,0.331,0.54,3.12,0.50,indeterminate
115931,28.43961,77.12139,1.35,0.22,1.17,0.53,0.810,0.207,4.81,0.295,-0.14,2.02,0.50,indeterminate
115932,28.43961,77.12239,1.53,0.27,1.38,0.61,0.815,0.232,5.09,0.218,-0.37,2.51,0.50,indeterminate
115933,28.43961,77.12339,2.42,0.28,1.67,0.67,0.811,0.409,5.25,0.238,0.41,3.48,0.50,indeterminate
115934,28.43961,77.12439,1.06,0.21,1.24,0.51,0.835,0.138,4.97,0.272,0.03,1.46,0.50,indeterminate
115935,28.43961,77.12539,1.77,0.23,1.17,0.56,0.797,0.305,4.81,0.292,0.04,2.61,0.50,indeterminate
115936,28.43961,77.12639,1.54,0.19,1.12,0.49,0.803,0.299,4.26,0.300,0.29,2.11,0.50,indeterminate
115937,28.43961,77.12739,0.71,0.17,0.61,0.41,0.724,0.104,3.85,0.303,-0.68,1.28,0.50,indeterminate
115938,28.43961,77.12839,1.68,0.21,0.61,0.45,0.652,0.381,3.86,0.230,-0.28,2.59,0.25,indeterminate
115939,28.43961,77.12939,0.19,0.19,0.26,0.34,0.605,0.010,3.74,0.213,-1.61,1.02,0.50,indeterminate
115940,28.43961,77.13039,1.46,0.17,0.55,0.39,0.698,0.349,3.57,0.173,-0.08,2.17,0.25,indeterminate
115942,28.43961,77.13239,-0.54,0.17,0.36,0.34,0.610,0.077,3.48,0.178,-1.76,-0.06,0.50,indeterminate
